Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,Tag position,,unsure,facing to the right of rostrum,POINT,0,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,breath,,cannot see blowholes,,POINT,0,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,travel,,surface,,START,0,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,mother present,,other,,START,2.044,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,59,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,mother present,,other,,STOP,6.686,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,NA,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,mother present,,ventral side,,START,6.687,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,191,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,fish present,,skin,swimming close to the whale. unsure if feeding,POINT,13.234,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,377,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,mother present,,ventral side,,STOP,18.677,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,NA,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,mother present,,other,,START,18.678,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,532,NA,
mn200219-55 video 15 EB,6/6/2023 10:50,,1794.616,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,1794.628,28.409,,breath,,cannot see blowholes,,POINT,21.082,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2020/mn200219-55/CATS 55-20200219-115021-00015.mov,600,NA,
