Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,Tag position,,head or rostrum,directly facing rostrum,POINT,593.438,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,travel,,water column,,START,595.810,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,621.260,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,START,629.676,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,635.788,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,STOP,645.440,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,674.898,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,START,678.706,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,STOP,682.681,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,712.340,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,734.249,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,762.705,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,779.940,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,795.136,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,803.653,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,START,806.892,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,810.032,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,mother present,,other,,STOP,816.512,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,breath,,see blowholes,,POINT,829.437,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
mn210220-55 video 2 JH,2023-03-20 17:02:57,,1202.699,Media file(s),player #1:C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,1796.140,28.440,,travel,,water column,,STOP,838.152,C:/Users/hawai/OneDrive/Desktop/BORIS videos and data/Videos For Analysis/2021/mn210220-55/CATS 55-20210220-121819-000-00002.mov,NA,NA,
