Observation id,mn220201-88 video 8 GH,,,,,,,,,
,,,,,,,,,,
Media file(s),,,,,,,,,,
,,,,,,,,,,
Player #1,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,,,,,,,,,
,,,,,,,,,,
Observation date,2023-03-03 19:50:14,,,,,,,,,
,,,,,,,,,,
Description,,,,,,,,,,
,,,,,,,,,,
Time offset (s),0.000,,,,,,,,,
,,,,,,,,,,
independent variables,,,,,,,,,,
variable,value,,,,,,,,,
,,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Modifier 2,Comment,Status
0.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,Tag position,,head or rostrum,directly facing rostrum,,POINT
2.658,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
8.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,travel,,surface,,,START
16.658,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
35.660,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
35.661,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,START
42.407,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,STOP
42.408,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
48.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
70.156,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
70.157,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,START
84.161,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,STOP
84.162,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
87.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
102.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
113.154,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
113.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,START
144.156,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,Tag position,,right flipper,directly facing rostrum,,POINT
145.654,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,STOP
145.655,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
152.157,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
173.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
179.157,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
186.158,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
201.158,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
215.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
222.655,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
241.655,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
257.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
268.656,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
285.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
298.656,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
372.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
390.656,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
410.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
443.156,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
450.160,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,STOP
469.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,START
485.656,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,ventral side,,,STOP
495.405,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,travel,,surface,,,STOP
495.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,travel,,water column,,,START
500.658,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,mother present,,other,,,START
506.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
516.655,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
522.663,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-092440-000-00008.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
