Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,Tag position,,head or rostrum,directly facing rostrum,POINT,0.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,1,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,mother present,,other,,START,0.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,1,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,travel,,surface,,START,6.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,198,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,breath,,see blowholes,,POINT,31.067,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,933,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,breath,,unknown,,POINT,61.133,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,1835,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,mother present,,other,,STOP,71.766,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,NA,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,mother present,,None,,START,71.767,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,2154,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,breath,,unknown,,POINT,81.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,2444,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,breath,,unknown,,POINT,95.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,2856,NA,
mn220202-84 video 8 TR,2023-03-06 14:37:02,,433.045,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,433.000,30.000,,mother present,,None,,STOP,100.066,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220202-84/Tag 84-20220202-161242-000-00008.mov,NA,NA,
