Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,Tag position,,head or rostrum,directly facing rostrum,POINT,0,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,1,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,0,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,1,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,travel,,water column,,START,2.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,78,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,7.066,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,7.067,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,213,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,10.7,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,322,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,38.133,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,1145,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,40.633,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,1220,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,53.667,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,1611,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,68.133,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,2045,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,70.3,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,2110,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,89.432,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,89.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,2684,NA,
