Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,Tag position,,left flipper,directly facing rostrum,POINT,0.800,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,25,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,mother present,,other,,START,8.033,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,242,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,breath,,cannot see blowholes,,POINT,25.767,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,774,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,breath,,cannot see blowholes,,POINT,37.800,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,1135,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,breath,,cannot see blowholes,,POINT,43.633,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,1310,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,mother present,,other,,STOP,49.867,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,1497,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,breath,,cannot see blowholes,,POINT,67.033,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,2012,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,breath,,cannot see blowholes,,POINT,85.667,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,2571,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,mother present,,other,,START,91.000,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,2731,NA,
mn220208-93 video 1 GH,2023-03-23 14:54:24,,573.749,Media file(s),player #1:C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,574.500,30.000,,rest,,water column,,START,107.133,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220208-93 (will)/raw/CATS 93-20220208-102958-000-00001.mov,3215,NA,
