CATS_Tag_No,Drone_Filename,Role,Total_length,Rel_length,BCI
mn200218-56,2020.02.18.03.03,Escort,11.42,NA,-0.057
mn200219-55,2020.02.19.06.02,Calf,4.97,40.63,-0.136
mn200219-98,2020.02.19.08.02,Calf,6.23,49.72,0.092
mn200222-99,NA,Calf,4.91,NA,NA
mn200223-48,2020.02.23.25.02,Calf,5.6,47.05,0.072
mn200224-56,2020.02.24.26.02,Calf,5.58,45.47,-0.028
mn200224-98,2020.02.24.27.02,Calf,3.97,32.79,0.009
mn200225-48,2020.02.25.28.02,Calf,6.13,44.97,-0.065
mn210215-57,2021.02.15.157.03,Escort,11.93,NA,-0.151
mn210215-59,2021.02.15.162.02,Calf,5.11,45.41,0.064
mn210215-95,2021.02.15.157.02,Calf,6.41,54.73,0.073
mn210216-97,2021.02.16.177.02,Calf,5.21,41.14,-0.082
mn210219-55,NA,Calf,NA,NA,NA
mn210220-95,2021.02.20.212.02,Calf,5.65,46.79,0.079
mn210220-55,2021.02.20.218.02,Calf,4.75,40.68,-0.002
mn220201-88,2022.02.01.03.02,Calf,4.59,32.79,-0.011
mn220201-95,2022.02.01.03.03,Escort,12.23,NA,0.001
mn220201-93,2022.02.01.05.03,Escort,12.46,NA,-0.115
mn220201-99,2022.02.01.07.01,Mother,14.09,NA,0.057
mn220201-97,2022.02.01.07.02,Calf,5.86,41.54,0.05
mn220201-99,2022.02.01.011.04,Calf,13.82,,0.113
mn220201-97,2022.02.01.011.05,Calf,5.12,37.06,0.035
mn220202-83,2022.02.02.17.01,Mother,10.92,,0.061
mn220202-88,2022.02.02.17.02,Calf,5.31,48.64,-0.01
mn220202-85,2022.02.02.21.01,Mother,11.86,,0.056
mn220202-99,2022.02.02.21.02,Calf,4.37,36.81,-0.039
mn220204-99,2022.02.04.42.02,Calf,4.99,42.23,-0.047
mn220204-88b,2022.02.04.44.02,Calf,5.12,40.33,-0.001
mn220204-84,2022.02.04.48.02,Calf,6.09,46.69,0.033
mn220205-88,2022.02.05.54.03,Escort,11.45,NA,0.026
mn220207-99,2022.02.07.75.02,Calf,4.29,32.46,-0.019
mn220207-93,2022.02.07.78.02,Calf,5.26,40.67,-0.057
mn220208-99,2022.02.08.87.02,Calf,5.54,47.88,-0.035
mn220208-93,2022.02.08.87.04,Calf,5.63,43.78,-0.054
mn220208-88,2022.02.08.87.05,Escort,10.46,NA,-0.025
mn220209-99,2022.02.09.99.02,Calf,5.33,42.43,-0.151
mn230206-81,2023.02.06,Calf,5.79,,
mn230206-J2,2023.02.06,,5.92,,
mn230206-J3 ,2023.02.06,,5.17,,
mn230215-99,2023.02.15,,6.27,,
mn230215-80,2023.02.15,,,,
